Team,Player,Position,Experience
ATL,Chandler Parsons,F,8
ATL,Evan Turner,G,9
ATL,Allen Crabbe,G-F,6
ATL,DeAndre' Bembry,F,3
ATL,Damian Jones,F-C,3
ATL,John Collins,F,2
ATL,Trae Young,G,1
ATL,Kevin Huerter,G,1
ATL,Alex Len,C,6
ATL,De'Andre Hunter,F,R
ATL,Cam Reddish,F,R
ATL,Bruno Fernando,F,R
ATL,Jabari Parker,F,5
BOS,Jaylen Brown,F-G,3
BOS,Jayson Tatum,F,2
BOS,Gordon Hayward,F-G,9
BOS,Semi Ojeleye,F,2
BOS,Robert Williams,F,1
BOS,Marcus Smart,G,5
BOS,Romeo Langford,G,R
BOS,Grant Williams,F,R
BOS,Kemba Walker,G,8
BOS,Carsen Edwards,G,R
BOS,Daniel Theis,C,2
BOS,Enes Kanter,C,8
BOS,Brad Wanamaker,G,1
BRK,Taurean Waller-Prince,F,3
BRK,Caris LeVert,G-F,3
BRK,Jarrett Allen,C-F,2
BRK,Džanan Musa,G-F,1
BRK,Rodions Kurucs,F,1
BRK,Joe Harris,G,5
BRK,Spencer Dinwiddie,G,5
BRK,Nicolas Claxton,F,R
BRK,Kevin Durant,F-G,12
BRK,DeAndre Jordan,C,11
BRK,Kyrie Irving,G,8
BRK,Wilson Chandler,F,11
BRK,Garrett Temple,G,9
BRK,Theo Pinson,G,1
BRK,David Nwaba,G,3
BRK,Henry Ellenson,F,3
CHO,Michael Kidd-Gilchrist,F,7
CHO,Cody Zeller,C-F,6
CHO,Nicolas Batum,F-G,11
CHO,Bismack Biyombo,C-F,8
CHO,Marvin Williams,F,14
CHO,Willy Hernangómez,C,3
CHO,Malik Monk,G,2
CHO,Dwayne Bacon,G,2
CHO,Miles Bridges,G-F,1
CHO,Devonte' Graham,G,1
CHO,PJ Washington,F,R
CHO,Terry Rozier,G,4
CHI,Denzel Valentine,G,2
CHI,Kris Dunn,G,3
CHI,Lauri Markkanen,F-C,2
CHI,Cristiano Felício,F-C,4
CHI,Otto Porter,F,6
CHI,Chandler Hutchison,G,1
CHI,Wendell Carter,C,1
CHI,Zach LaVine,G,5
CHI,Antonio Blakeney,G,2
CHI,Coby White,G,R
CHI,Daniel Gafford,F,R
CHI,Tomáš Satoranský,G,3
CHI,Thaddeus Young,F,12
CHI,Ryan Arcidiacono,G,2
CHI,Luke Kornet,F,2
CHI,Shaquille Harrison,G,2
CLE,John Henson,C-F,7
CLE,Brandon Knight,G,7
CLE,Tristan Thompson,F-C,8
CLE,Jordan Clarkson,G,5
CLE,Matthew Dellavedova,G,6
CLE,Ante Žižić,F-C,2
CLE,Cedi Osman,F,2
CLE,Collin Sexton,G,1
CLE,Kevin Love,F,11
CLE,Larry Nance,F-C,4
CLE,Darius Garland,G,R
CLE,Dylan Windler,G-F,R
CLE,Kevin Porter,G,R
DAL,Dwight Powell,F-C,5
DAL,Courtney Lee,G,11
DAL,Justin Jackson,G-F,2
DAL,Tim Hardaway,G,6
DAL,Luka Dončić,G-F,1
DAL,Ryan Broekhoff,F,1
DAL,Jalen Brunson,G,1
DAL,Kostas Antetokounmpo,F,1
DAL,Daryl Macon,G,1
DAL,Delon Wright,G,4
DAL,Seth Curry,G,5
DAL,Maxi Kleber,F,2
DAL,Dorian Finney-Smith,F,3
DAL,Kristaps Porziņģis,F-C,3
DEN,Malik Beasley,G,3
DEN,Jamal Murray,G,3
DEN,Juan Hernangómez,F,3
DEN,Paul Millsap,F,13
DEN,Mason Plumlee,C-F,6
DEN,Gary Harris,G,5
DEN,Michael Porter,F,R
DEN,Jerami Grant,F,5
DEN,Torrey Craig,G-F,2
DEN,Nikola Jokić,C-F,4
DEN,Will Barton,G,7
DEN,Jarred Vanderbilt,F,1
DEN,Thomas Welsh,C,1
DEN,Monte Morris,G,2
DET,Reggie Jackson,G,8
DET,Andre Drummond,C,7
DET,Thon Maker,F-C,3
DET,Luke Kennard,G,2
DET,Langston Galloway,G,5
DET,Blake Griffin,F,9
DET,Tony Snell,G-F,6
DET,Bruce Brown,G,1
DET,Sviatoslav Mykhailiuk,G-F,1
DET,Khyri Thomas,G,1
DET,Sekou Doumbouya,F,R
DET,Jordan Bone,G,R
DET,Derrick Rose,G,10
DET,Markieff Morris,F,8
DET,Tim Frazier,G,5
DET,Christian Wood,F,3
GSW,Draymond Green,F,7
GSW,Stephen Curry,G,10
GSW,Jacob Evans,G-F,1
GSW,Alfonzo McKinnie,F,2
GSW,Jordan Poole,G,R
GSW,Alen Smailagić,F,R
GSW,Eric Paschall,F,R
GSW,D'Angelo Russell,G,4
GSW,Willie Cauley-Stein,F-C,4
GSW,Glenn Robinson,G-F,5
GSW,Klay Thompson,G-F,8
GSW,Kevon Looney,F-C,4
GSW,Alec Burks,G,8
HOU,James Harden,G,10
HOU,Eric Gordon,G,11
HOU,P.J. Tucker,F,8
HOU,Russell Westbrook,G,11
HOU,Isaiah Hartenstein,F,1
HOU,Clint Capela,C,5
HOU,Gary Clark,F,1
HOU,Deyonta Davis,C-F,3
HOU,Chris Chiozza,G,1
HOU,Michael Frazier,G,R
HOU,Danuel House,G,3
HOU,Austin Rivers,G,7
HOU,Tyson Chandler,C,18
IND,Victor Oladipo,G,6
IND,Domantas Sabonis,F-C,3
IND,T.J. Leaf,F,2
IND,T.J. Warren,F,5
IND,Aaron Holiday,G,1
IND,Doug McDermott,F,5
IND,Alize Johnson,F,1
IND,Myles Turner,C-F,4
IND,C.J. Wilcox,G,3
IND,Malcolm Brogdon,G,3
IND,Goga Bitadze,C,R
IND,Jeremy Lamb,G-F,7
LAC,Maurice Harkless,F-G,7
LAC,Lou Williams,G,14
LAC,Landry Shamet,G,1
LAC,Jerome Robinson,G,1
LAC,Paul George,F,9
LAC,Montrezl Harrell,F-C,4
LAC,Mfiondu Kabengele,F,R
LAC,Terance Mann,G-F,R
LAC,Kawhi Leonard,F,8
LAC,Ivica Zubac,C,3
LAC,Patrick Beverley,G,7
LAC,JaMychal Green,F,5
LAL,Anthony Davis,F-C,7
LAL,Kyle Kuzma,F,2
LAL,LeBron James,F-G,16
LAL,Talen Horton-Tucker,G-F,R
LAL,Danny Green,G-F,10
LAL,DeMarcus Cousins,C-F,9
LAL,Kentavious Caldwell-Pope,G,6
LAL,JaVale McGee,C,11
LAL,Quinn Cook,G,3
LAL,Jared Dudley,F-G,12
LAL,Troy Daniels,G,6
LAL,Alex Caruso,G,2
LAL,Rajon Rondo,G,13
LAL,Avery Bradley,G,9
MEM,Jae Crowder,F,7
MEM,Solomon Hill,F,6
MEM,Miles Plumlee,C-F,7
MEM,Josh Jackson,F-G,2
MEM,Andre Iguodala,G-F,15
MEM,Dillon Brooks,F-G,2
MEM,Ivan Rabb,F,2
MEM,Jaren Jackson,F,1
MEM,Grayson Allen,G,1
MEM,Kyle Anderson,F-G,5
MEM,Dwight Howard,C,15
MEM,Yuta Watanabe,F,1
MEM,De'Anthony Melton,G,1
MEM,Bruno Caboclo,F,5
MEM,Ja Morant,G,R
MEM,Brandon Clarke,F,R
MEM,Tyus Jones,G,4
MEM,Jonas Valančiūnas,C,7
MIA,Goran Dragić,G,11
MIA,Meyers Leonard,C-F,7
MIA,Bam Adebayo,C-F,2
MIA,James Johnson,F,10
MIA,Dion Waiters,G,7
MIA,Kelly Olynyk,C-F,6
MIA,Derrick Jones,F,3
MIA,Justise Winslow,F,4
MIA,Yante Maten,F,1
MIA,Duncan Robinson,G,1
MIA,Kendrick Nunn,G,R
MIA,KZ Okpala,F,R
MIA,Tyler Herro,G,R
MIA,Jimmy Butler,F-G,8
MIL,Giannis Antetokounmpo,F-G,6
MIL,D.J. Wilson,F,2
MIL,Sterling Brown,G,2
MIL,Donte DiVincenzo,G,1
MIL,Ersan İlyasova,F,11
MIL,Pat Connaughton,G,4
MIL,Eric Bledsoe,G,9
MIL,Bonzie Colson,F,1
MIL,Brook Lopez,C,11
MIL,George Hill,G,11
MIL,Khris Middleton,F-G,7
MIL,Robin Lopez,C,11
MIL,Wesley Matthews,G,10
MIL,Thanasis Antetokounmpo,F,1
MIN,Gorgui Dieng,C,6
MIN,Jeff Teague,G,10
MIN,Andrew Wiggins,F-G,5
MIN,Robert Covington,F,6
MIN,Josh Okogie,G,1
MIN,Keita Bates-Diop,F,1
MIN,Shabazz Napier,G,5
MIN,Treveon Graham,G,3
MIN,Karl-Anthony Towns,C-F,4
MIN,Jarrett Culver,G,R
MIN,Jake Layman,F,3
MIN,Tyrone Wallace,G,2
MIN,Noah Vonleh,F,5
NOP,E'Twaun Moore,G-F,8
NOP,Brandon Ingram,F,3
NOP,Lonzo Ball,G,2
NOP,Josh Hart,G,2
NOP,Jrue Holiday,G,10
NOP,Frank Jackson,G,1
NOP,Derrick Favors,F-C,9
NOP,Kenrich Williams,G-F,1
NOP,Jahlil Okafor,C-F,4
NOP,Zion Williamson,F,R
NOP,Jaxson Hayes,F,R
NOP,Nickeil Alexander-Walker,G,R
NOP,J.J. Redick,G,13
NOP,Nicol� Melli,F,R
NYK,Frank Ntilikina,G,2
NYK,Dennis Smith,G,2
NYK,Damyean Dotson,G,2
NYK,Kevin Knox,F,1
NYK,Mitchell Robinson,C,1
NYK,Allonzo Trier,G,1
NYK,Kadeem Allen,G,2
NYK,RJ Barrett,G-F,R
NYK,Ignas Brazdeikis,F,R
NYK,Julius Randle,F-C,5
NYK,Taj Gibson,F,10
NYK,Bobby Portis,F,4
NYK,Wayne Ellington,G,10
NYK,Elfrid Payton,G,5
NYK,Marcus Morris,F,8
NYK,Reggie Bullock,G-F,6
OKC,Dennis Schröder,G,6
OKC,Steven Adams,C,6
OKC,Danilo Gallinari,F,10
OKC,Patrick Patterson,F,9
OKC,Abdel Nader,F,2
OKC,Andre Roberson,G-F,5
OKC,Terrance Ferguson,G-F,2
OKC,Shai Gilgeous-Alexander,G,1
OKC,Chris Paul,G,14
OKC,Hamidou Diallo,G,1
OKC,Deonte Burton,G,1
OKC,Donte Grantham,F,1
OKC,Darius Bazley,F,R
OKC,Nerlens Noel,C-F,5
OKC,Mike Muscala,F-C,6
ORL,D.J. Augustin,G,11
ORL,Evan Fournier,G-F,7
ORL,Jonathan Isaac,F,2
ORL,Markelle Fultz,G,2
ORL,Wesley Iwundu,F,2
ORL,Mohamed Bamba,C,1
ORL,Aaron Gordon,F,5
ORL,Melvin Frazier,G,1
ORL,Al-Farouq Aminu,F,9
ORL,Nikola Vučević,C,8
ORL,Terrence Ross,F-G,7
ORL,Michael Carter-Williams,G,6
ORL,Khem Birch,C-F,2
PHI,Ben Simmons,G-F,2
PHI,Josh Richardson,G,4
PHI,Joel Embiid,C,3
PHI,Zhaire Smith,G,1
PHI,Jonah Bolden,F,1
PHI,Norvel Pelle,F-C,R
PHI,Matisse Thybulle,G,R
PHI,Marial Shayok,G,R
PHI,Shake Milton,G,1
PHI,Al Horford,C-F,12
PHI,Tobias Harris,F,8
PHI,Mike Scott,F,7
PHI,Kyle O'Quinn,F-C,7
PHI,James Ennis,F,5
PHI,Raul Neto,G,4
PHO,Tyler Johnson,G,5
PHO,Dario Šarić,F,3
PHO,Deandre Ayton,C,1
PHO,Mikal Bridges,G,1
PHO,Aron Baynes,C,7
PHO,Élie Okobo,G,1
PHO,Devin Booker,G,4
PHO,Jevon Carter,G,1
PHO,Cameron Johnson,F,R
PHO,Ty Jerome,G,R
PHO,Ricky Rubio,G,8
PHO,Kelly Oubre,F,4
PHO,Frank Kaminsky,F-C,4
POR,Damian Lillard,G,7
POR,CJ McCollum,G,6
POR,Kent Bazemore,G-F,7
POR,Hassan Whiteside,C,7
POR,Skal Labissière,F,3
POR,Zach Collins,C-F,2
POR,Anfernee Simons,G,1
POR,Jusuf Nurkić,C,5
POR,Gary Trent,G,1
POR,Nassir Little,F,R
POR,Anthony Tolliver,F-C,11
POR,Mario Hezonja,F-G,4
POR,Rodney Hood,G-F,5
POR,Rodney Hood,G-F,5
SAC,Buddy Hield,G,3
SAC,Caleb Swanigan,F,2
SAC,Harry Giles,F-C,1
SAC,De'Aaron Fox,G,2
SAC,Bogdan Bogdanović,G,2
SAC,Marvin Bagley,F,1
SAC,Nemanja Bjelica,F,4
SAC,Yogi Ferrell,G,3
SAC,B.J. Johnson,G,1
SAC,Wenyen Gabriel,F,R
SAC,Kyle Guy,G,R
SAC,Justin James,G,R
SAC,Cory Joseph,G,8
SAC,Trevor Ariza,F,15
SAC,Harrison Barnes,F,7
SAC,Dewayne Dedmon,C,6
SAC,Richaun Holmes,F-C,4
SAC,Tyler Lydon,F,2
SAS,Dejounte Murray,G,2
SAS,DeMar DeRozan,G-F,10
SAS,Jakob Pöltl,C,3
SAS,Derrick White,G,2
SAS,Patty Mills,G,10
SAS,LaMarcus Aldridge,F-C,13
SAS,Lonnie Walker,G,1
SAS,Marco Belinelli,G-F,12
SAS,Bryn Forbes,G,3
SAS,Chimezie Metu,F,1
SAS,Drew Eubanks,F,1
SAS,Luka Šamanić,F,R
SAS,Keldon Johnson,G,R
SAS,Quinndary Weatherspoon,G,R
SAS,DeMarre Carroll,F,10
SAS,Rudy Gay,F,13
SAS,Trey Lyles,F,4
TOR,Marc Gasol,C,11
TOR,Pascal Siakam,F,3
TOR,OG Anunoby,F,2
TOR,Kyle Lowry,G,13
TOR,Serge Ibaka,F-C,10
TOR,Norman Powell,G,4
TOR,Fred VanVleet,G,3
TOR,Malcolm Miller,F,2
TOR,Chris Boucher,F,2
TOR,Jordan Loyd,G,1
TOR,Dewan Hernandez,F,R
TOR,Patrick McCaw,G,3
TOR,Stanley Johnson,F,4
TOR,Rondae Hollis-Jefferson,F,4
UTA,Rudy Gobert,C,6
UTA,Mike Conley,G,12
UTA,Donovan Mitchell,G,2
UTA,Tony Bradley,F-C,2
UTA,Royce O'Neale,F,2
UTA,Joe Ingles,F-G,5
UTA,Dante Exum,G,4
UTA,Georges Niang,F,3
UTA,Miye Oni,G,R
UTA,Bojan Bogdanović,G-F,5
UTA,Jarrell Brantley,F,R
UTA,Justin Wright-Foreman,G,R
WAS,Ian Mahinmi,C,11
WAS,Bradley Beal,G,7
WAS,C.J. Miles,G-F,14
WAS,John Wall,G,9
WAS,Moritz Wagner,F-C,1
WAS,Troy Brown,G-F,1
WAS,Isaac Bonga,G,1
WAS,Dāvis Bertāns,F,3
WAS,Jemerrio Jones,F,1
WAS,Jordan McRae,G,3
WAS,Tarik Phillip,G,R
WAS,Rui Hachimura,F,R
WAS,Admiral Schofield,G-F,R
WAS,Thomas Bryant,C,2
WAS,Ish Smith,G,9
WAS,Isaiah Thomas,G,8